"date","location_long","location_short","gt_source","cum.death","inc.death"
2020-01-24,"Sri Lanka","LKA","JHU",0,0
2020-01-24,"St. Kitts & Nevis","KNA","JHU",0,0
2020-01-24,"St. Lucia","LCA","JHU",0,0
2020-01-24,"St. Vincent & Grenadines","VCT","JHU",0,0
2020-01-24,"Sudan","SDN","JHU",0,0
2020-01-24,"Suriname","SUR","JHU",0,0
2020-01-24,"Swaziland","SWZ","JHU",0,0
2020-01-24,"Sweden","SWE","JHU",0,0
2020-01-24,"Switzerland","CHE","JHU",0,0
2020-01-24,"Syria","SYR","JHU",0,0
2020-01-24,"Taiwan","TWN","JHU",0,0
2020-01-24,"Tajikistan","TJK","JHU",0,0
2020-01-24,"Tanzania","TZA","JHU",0,0
2020-01-24,"Thailand","THA","JHU",0,0
2020-01-24,"Timor-Leste","TLS","JHU",0,0
2020-01-24,"Togo","TGO","JHU",0,0
2020-01-24,"Trinidad & Tobago","TTO","JHU",0,0
2020-01-24,"Tunisia","TUN","JHU",0,0
2020-01-24,"Turkey","TUR","JHU",0,0
2020-01-24,"Uganda","UGA","JHU",0,0
2020-01-24,"Ukraine","UKR","JHU",0,0
2020-01-24,"United Arab Emirates","ARE","JHU",0,0
2020-01-24,"United Kingdom","GBR","JHU",0,0
2020-01-24,"United States","USA","JHU",0,0
2020-01-24,"Uruguay","URY","JHU",0,0
2020-01-24,"Uzbekistan","UZB","JHU",0,0
2020-01-24,"Vatican City","VAT","JHU",0,0
2020-01-24,"Venezuela","VEN","JHU",0,0
2020-01-24,"Vietnam","VNM","JHU",0,0
2020-01-24,"Western Sahara","ESH","JHU",0,0
2020-01-24,"Yemen","YEM","JHU",0,0
2020-01-24,"Zambia","ZMB","JHU",0,0
2020-01-24,"Zimbabwe","ZWE","JHU",0,0
2020-01-25,"Afghanistan","AFG","JHU",0,0
2020-01-25,"Albania","ALB","JHU",0,0
2020-01-25,"Algeria","DZA","JHU",0,0
2020-01-25,"Andorra","AND","JHU",0,0
2020-01-25,"Angola","AGO","JHU",0,0
2020-01-25,"Antigua & Barbuda","ATG","JHU",0,0
2020-01-25,"Argentina","ARG","JHU",0,0
2020-01-25,"Armenia","ARM","JHU",0,0
2020-01-25,"Australia","AUS","JHU",0,0
2020-01-25,"Austria","AUT","JHU",0,0
2020-01-25,"Azerbaijan","AZE","JHU",0,0
2020-01-25,"Bahamas","BHS","JHU",0,0
2020-01-25,"Bahrain","BHR","JHU",0,0
2020-01-25,"Bangladesh","BGD","JHU",0,0
2020-01-25,"Barbados","BRB","JHU",0,0
2020-01-25,"Belarus","BLR","JHU",0,0
2020-01-25,"Belgium","BEL","JHU",0,0
2020-01-25,"Belize","BLZ","JHU",0,0
2020-01-25,"Benin","BEN","JHU",0,0
2020-01-25,"Bhutan","BTN","JHU",0,0
2020-01-25,"Bolivia","BOL","JHU",0,0
2020-01-25,"Bosnia & Herzegovina","BIH","JHU",0,0
2020-01-25,"Botswana","BWA","JHU",0,0
2020-01-25,"Brazil","BRA","JHU",0,0
2020-01-25,"Brunei","BRN","JHU",0,0
2020-01-25,"Bulgaria","BGR","JHU",0,0
2020-01-25,"Burkina Faso","BFA","JHU",0,0
2020-01-25,"Burundi","BDI","JHU",0,0
2020-01-25,"Cambodia","KHM","JHU",0,0
2020-01-25,"Cameroon","CMR","JHU",0,0
2020-01-25,"Canada","CAN","JHU",0,0
2020-01-25,"Cape Verde","CPV","JHU",0,0
2020-01-25,"Central African Republic","CAF","JHU",0,0
2020-01-25,"Chad","TCD","JHU",0,0
2020-01-25,"Chile","CHL","JHU",0,0
2020-01-25,"China","CHN","JHU",42,16
2020-01-25,"Colombia","COL","JHU",0,0
2020-01-25,"Comoros","COM","JHU",0,0
2020-01-25,"Congo - Brazzaville","COG","JHU",0,0
2020-01-25,"Congo - Kinshasa","COD","JHU",0,0
2020-01-25,"Costa Rica","CRI","JHU",0,0
2020-01-25,"Côte d’Ivoire","CIV","JHU",0,0
2020-01-25,"Croatia","HRV","JHU",0,0
2020-01-25,"Cuba","CUB","JHU",0,0
2020-01-25,"Cyprus","CYP","JHU",0,0
2020-01-25,"Czechia","CZE","JHU",0,0
2020-01-25,"Denmark","DNK","JHU",0,0
2020-01-25,"Diamond Princess","Diamond Princess","JHU",0,0
2020-01-25,"Djibouti","DJI","JHU",0,0
2020-01-25,"Dominica","DMA","JHU",0,0
2020-01-25,"Dominican Republic","DOM","JHU",0,0
2020-01-25,"Ecuador","ECU","JHU",0,0
2020-01-25,"Egypt","EGY","JHU",0,0
2020-01-25,"El Salvador","SLV","JHU",0,0
2020-01-25,"Equatorial Guinea","GNQ","JHU",0,0
2020-01-25,"Eritrea","ERI","JHU",0,0
2020-01-25,"Estonia","EST","JHU",0,0
2020-01-25,"Ethiopia","ETH","JHU",0,0
2020-01-25,"Fiji","FJI","JHU",0,0
2020-01-25,"Finland","FIN","JHU",0,0
2020-01-25,"France","FRA","JHU",0,0
2020-01-25,"Gabon","GAB","JHU",0,0
2020-01-25,"Gambia","GMB","JHU",0,0
2020-01-25,"Georgia","GEO","JHU",0,0
2020-01-25,"Germany","DEU","JHU",0,0
2020-01-25,"Ghana","GHA","JHU",0,0
2020-01-25,"Greece","GRC","JHU",0,0
2020-01-25,"Grenada","GRD","JHU",0,0
2020-01-25,"Guatemala","GTM","JHU",0,0
2020-01-25,"Guinea","GIN","JHU",0,0
2020-01-25,"Guinea-Bissau","GNB","JHU",0,0
2020-01-25,"Guyana","GUY","JHU",0,0
2020-01-25,"Haiti","HTI","JHU",0,0
2020-01-25,"Honduras","HND","JHU",0,0
2020-01-25,"Hungary","HUN","JHU",0,0
2020-01-25,"Iceland","ISL","JHU",0,0
2020-01-25,"India","IND","JHU",0,0
2020-01-25,"Indonesia","IDN","JHU",0,0
2020-01-25,"Iran","IRN","JHU",0,0
2020-01-25,"Iraq","IRQ","JHU",0,0
2020-01-25,"Ireland","IRL","JHU",0,0
2020-01-25,"Israel","ISR","JHU",0,0
2020-01-25,"Italy","ITA","JHU",0,0
2020-01-25,"Jamaica","JAM","JHU",0,0
2020-01-25,"Japan","JPN","JHU",0,0
2020-01-25,"Jordan","JOR","JHU",0,0
2020-01-25,"Kazakhstan","KAZ","JHU",0,0
2020-01-25,"Kenya","KEN","JHU",0,0
2020-01-25,"Kosovo","KSV","JHU",0,0
2020-01-25,"Kuwait","KWT","JHU",0,0
2020-01-25,"Kyrgyzstan","KGZ","JHU",0,0
2020-01-25,"Laos","LAO","JHU",0,0
2020-01-25,"Latvia","LVA","JHU",0,0
2020-01-25,"Lebanon","LBN","JHU",0,0
2020-01-25,"Lesotho","LSO","JHU",0,0
2020-01-25,"Liberia","LBR","JHU",0,0
2020-01-25,"Libya","LBY","JHU",0,0
2020-01-25,"Liechtenstein","LIE","JHU",0,0
2020-01-25,"Lithuania","LTU","JHU",0,0
