state,area_between_bounds,max_ev,date_max_ev,range_at_max,last_observation_date,model_name
Oklahoma,1837.6250000000005,28.555,2020-04-24,99.0,2020-04-05,-
Oregon,197.09999999999994,4.606,2020-04-21,7.024999999999981,2020-04-05,-
Pennsylvania,1026.375,28.265,2020-04-17,81.0,2020-04-05,-
Rhode Island,5804.949999999997,39.760999999999996,2020-04-29,297.549999999999,2020-04-05,-
South Carolina,1000.4249999999997,13.831,2020-04-29,51.025,2020-04-05,-
South Dakota,877.4499999999996,8.906,2020-04-27,36.0,2020-04-05,-
Tennessee,1088.3999999999999,25.349,2020-04-18,87.05,2020-04-05,-
Texas,3879.875000000002,71.70100000000001,2020-04-20,201.05,2020-04-05,-
Utah,584.2249999999999,6.6979999999999995,2020-04-26,26.025,2020-04-05,-
Virginia,3742.650000000001,59.382,2020-04-22,212.025,2020-04-05,-
Vermont,21.0,0.713,2020-04-17,2.0,2020-04-05,-
Washington,315.125,13.440999999999999,2020-04-17,37.025,2020-04-05,-
Wisconsin,1145.3249999999998,31.655,2020-04-21,101.05,2020-04-05,-
West Virginia,723.7249999999996,17.184,2020-04-17,102.05,2020-04-05,-
Wyoming,612.4499999999997,5.5760000000000005,2020-04-29,27.0749999999999,2020-04-05,-
Alaska,172.04999999999995,4.63,2020-04-17,5.0,2020-04-01,-
Alabama,6575.174999999999,303.285,2020-04-19,534.025,2020-04-01,-
Arkansas,661.05,20.674,2020-04-27,23.0,2020-04-01,-
Arizona,1872.0,40.21,2020-04-28,59.0,2020-04-01,-
California,9425.574999999995,119.425,2020-04-28,261.0,2020-04-01,-
Colorado,1872.5000000000007,84.82700000000001,2020-04-19,60.025,2020-04-01,-
Connecticut,587.05,43.29600000000001,2020-04-17,29.0,2020-04-01,-
District of Columbia,122.0,9.219,2020-04-17,3.0,2020-04-01,-
Delaware,136.02499999999998,7.356,2020-04-17,11.0,2020-04-01,-
Florida,16373.349999999997,175.083,2020-05-04,490.04999999999995,2020-04-01,-
Georgia,3038.725000000001,95.773,2020-04-25,125.025,2020-04-01,-
Hawaii,563.1999999999999,11.917,2020-05-04,13.0,2020-04-01,-
Iowa,942.2749999999999,48.766999999999996,2020-05-02,32.0,2020-04-01,-
Idaho,647.0749999999999,11.615,2020-04-26,22.0,2020-04-01,-
Illinois,12296.349999999986,109.209,2020-04-21,408.025,2020-04-01,-
Indiana,3457.6250000000014,34.555,2020-04-20,72.0,2020-04-01,-
Kansas,972.1249999999999,18.345,2020-04-29,32.025,2020-04-01,-
Kentucky,1642.05,15.195,2020-05-18,36.025,2020-04-01,-
Louisiana,1031.0,62.178999999999995,2020-04-17,119.0,2020-04-01,-
Massachusetts,1977.375000000001,100.455,2020-04-17,111.07500000000002,2020-04-01,-
Maryland,3894.375000000001,53.258,2020-04-30,135.0,2020-04-01,-
Maine,354.025,12.164000000000001,2020-04-18,12.0,2020-04-01,-
Michigan,1152.025,120.65700000000001,2020-04-17,168.0,2020-04-01,-
Minnesota,1012.1999999999999,36.498000000000005,2020-04-23,43.0,2020-04-01,-
Missouri,2835.1500000000005,22.023000000000003,2020-05-23,50.0,2020-04-01,-
Mississippi,1598.7250000000004,34.25,2020-04-22,64.0749999999999,2020-04-01,-
Montana,331.025,8.712,2020-04-27,9.0,2020-04-01,-
North Carolina,2488.05,50.611999999999995,2020-04-28,99.0,2020-04-01,-
North Dakota,205.07499999999993,5.601,2020-04-22,6.0,2020-04-01,-
Nebraska,610.1249999999999,14.604000000000001,2020-04-24,17.025,2020-04-01,-
New Hampshire,352.025,10.918,2020-04-18,12.0,2020-04-01,-
New Jersey,673.0,68.434,2020-04-17,92.0,2020-04-01,-
New Mexico,694.1249999999999,17.205,2020-04-25,19.0,2020-04-01,-
Nevada,1191.225,26.474,2020-04-21,39.0,2020-04-01,-
New York,4405.325000000001,577.683,2020-04-17,634.0999999999999,2020-04-01,-
Ohio,2292.05,68.89,2020-04-20,115.0,2020-04-01,-
Oklahoma,505.025,52.242,2020-04-24,21.0,2020-04-01,-
Oregon,869.05,10.975999999999999,2020-05-09,20.0,2020-04-01,-
Pennsylvania,2162.475000000001,78.926,2020-04-19,93.025,2020-04-01,-
Rhode Island,293.025,8.439,2020-04-21,9.0,2020-04-01,-
South Carolina,1111.1,30.703000000000003,2020-04-29,32.0,2020-04-01,-
South Dakota,358.0999999999999,6.319,2020-05-05,7.025,2020-04-01,-
Tennessee,1391.2250000000001,165.364,2020-04-21,83.0,2020-04-01,-
Texas,10250.299999999997,160.79399999999998,2020-05-07,289.025,2020-04-01,-
Utah,830.025,17.74,2020-04-24,21.0,2020-04-01,-
Virginia,9426.074999999995,58.846000000000004,2020-05-20,183.025,2020-04-01,-
Vermont,31.0,1.545,2020-04-17,2.0,2020-04-01,-
Washington,836.1249999999999,21.37,2020-04-17,31.0,2020-04-01,-
Wisconsin,2019.3000000000009,24.736,2020-04-29,56.0,2020-04-01,-
West Virginia,815.175,15.158,2020-05-04,16.0,2020-04-01,-
Wyoming,255.0999999999999,4.385,2020-05-05,5.024999999999981,2020-04-01,-
Alaska,60.02499999999998,1.874,2020-04-18,7.0,2020-04-16,-
Alabama,661.2999999999997,12.788,2020-04-20,51.0,2020-04-16,-
Arkansas,500.17499999999984,3.59,2020-05-02,14.0,2020-04-16,-
Arizona,549.1499999999999,7.62,2020-04-17,34.0,2020-04-16,-
California,2496.5750000000007,61.347,2020-04-17,241.0,2020-04-16,-
Colorado,1555.1750000000002,22.430999999999997,2020-04-18,113.0,2020-04-16,-
Connecticut,7606.049999999997,107.87700000000001,2020-04-21,516.05,2020-04-16,-
District of Columbia,340.17499999999995,6.9110000000000005,2020-04-18,26.0,2020-04-16,-
Delaware,343.15,6.475,2020-04-21,24.025,2020-04-16,-
Florida,2660.350000000001,42.831,2020-04-17,179.05,2020-04-16,-
Georgia,3327.8750000000014,40.195,2020-04-18,177.075,2020-04-16,-
Hawaii,111.025,4.575,2020-04-17,17.025,2020-04-16,-
Iowa,2578.775,17.132,2020-05-08,78.0,2020-04-16,-
Idaho,103.02499999999998,2.412,2020-04-17,11.0,2020-04-16,-
Illinois,3862.5249999999996,94.75200000000001,2020-04-19,334.15,2020-04-16,-
Indiana,2007.3500000000006,35.349000000000004,2020-04-17,169.025,2020-04-16,-
Kansas,410.19999999999993,5.835,2020-04-19,21.025,2020-04-16,-
Kentucky,1085.075,12.484000000000002,2020-04-23,52.0,2020-04-16,-
Louisiana,1508.9750000000004,60.773,2020-04-17,180.025,2020-04-16,-
Massachusetts,8324.824999999999,135.313,2020-04-20,538.075,2020-04-16,-
Maryland,2735.2999999999993,45.827,2020-04-20,215.25,2020-04-16,-
Maine,109.04999999999995,1.829,2020-04-20,8.0,2020-04-16,-
Michigan,4761.874999999998,123.838,2020-04-17,498.15,2020-04-16,-
Minnesota,512.3,8.26,2020-04-17,39.025,2020-04-16,-
Missouri,838.1249999999999,12.955,2020-04-17,59.0,2020-04-16,-
Mississippi,1161.375,11.423,2020-04-24,56.0,2020-04-16,-
Montana,37.0,2.385,2020-04-17,9.0,2020-04-16,-
North Carolina,375.07500000000005,11.946,2020-04-17,43.025,2020-04-16,-
North Dakota,648.2999999999998,3.805,2020-05-05,17.0,2020-04-16,-
Nebraska,470.025,2.819,2020-05-01,12.0,2020-04-16,-
New Hampshire,95.04999999999995,2.628,2020-04-17,11.0,2020-04-16,-
New Jersey,10329.725,267.575,2020-04-17,855.15,2020-04-16,-
New Mexico,203.025,3.53,2020-04-19,14.0,2020-04-16,-
Nevada,424.15,9.604,2020-04-17,34.0,2020-04-16,-
New York,26538.425000000007,822.087,2020-04-17,2454.1749999999997,2020-04-16,-
Ohio,1221.0500000000002,30.5,2020-04-18,119.0,2020-04-16,-
Oklahoma,1065.5749999999998,9.472999999999999,2020-04-20,39.025,2020-04-16,-
Oregon,251.02499999999998,3.654,2020-04-19,15.0,2020-04-16,-
Pennsylvania,3639.450000000001,78.66,2020-04-17,329.05,2020-04-16,-
Rhode Island,1535.4000000000005,18.374000000000002,2020-04-25,80.0,2020-04-16,-
